CURVE,X,Y
1671,299,142.9
1610,0,0.5
1610,1,0.5
1610,10,4.8
1610,20,9.6
1610,30,14.3
1610,70,33.5
1610,80,38.2
1610,120,57.4
1610,130,62.1
1610,170,81.3
1610,180,86
1610,220,105.2
1610,230,109.9
1610,270,129.1
1610,280,133.8
1610,290,138.6
1610,299,142.9
1936,0,0.5
1936,1,0.5
1936,10,4.8
1936,20,9.6
1936,30,14.3
1936,70,33.5
1936,80,38.2
1936,120,57.4
1936,130,62.1
1936,170,81.3
1936,180,86
1936,220,105.2
1936,230,109.9
1936,270,129.1
1936,280,133.8
1936,290,138.6
1936,299,142.9
299,0,0.5
299,1,0.5
299,10,4.8
299,20,9.6
299,30,14.3
299,70,33.5
299,80,38.2
299,120,57.4
299,130,62.1
299,170,81.3
299,180,86
299,220,105.2
299,230,109.9
299,270,129.1
299,280,133.8
299,290,138.6
299,299,142.9
1859,0,0.5
1859,1,0.5
1859,10,4.8
1859,20,9.6
1859,30,14.3
1859,70,33.5
1859,80,38.2
1859,120,57.4
1859,130,62.1
1859,170,81.3
1859,180,86
1859,220,105.2
1859,230,109.9
1859,270,129.1
1859,280,133.8
1859,290,138.6
1859,299,142.9
607,0,0.5
607,1,0.5
607,10,4.8
607,20,9.6
607,30,14.3
607,70,33.5
607,80,38.2
607,120,57.4
607,130,62.1
607,170,81.3
607,180,86
607,220,105.2
607,230,109.9
607,270,129.1
607,280,133.8
607,290,138.6
607,299,142.9
1614,0,0.5
1614,1,0.5
1614,10,4.8
1614,20,9.6
1614,30,14.3
1614,70,33.5
1614,80,38.2
1614,120,57.4
1614,130,62.1
1614,170,81.3
1614,180,86
1614,220,105.2
1614,230,109.9
1614,270,129.1
1614,280,133.8
1614,290,138.6
1614,299,142.9
1243,0,0.5
1243,1,0.5
1243,10,4.8
1243,20,9.6
1243,30,14.3
1243,70,33.5
1243,80,38.2
1243,120,57.4
1243,130,62.1
1243,170,81.3
1243,180,86
1243,220,105.2
1243,230,109.9
1243,270,129.1
1243,280,133.8
1243,290,138.6
1243,299,142.9
1583,0,0.5
1583,1,0.5
1583,10,4.8
1583,20,9.6
1583,30,14.3
1583,70,33.5
1583,80,38.2
1583,120,57.4
1583,130,62.1
1583,170,81.3
1583,180,86
1583,220,105.2
1583,230,109.9
1583,270,129.1
1583,280,133.8
1583,290,138.6
1583,299,142.9
386,0,0.5
386,1,0.5
386,10,4.8
386,20,9.6
386,30,14.3
386,70,33.5
386,80,38.2
386,120,57.4
386,130,62.1
386,170,81.3
386,180,86
386,220,105.2
386,230,109.9
386,270,129.1
386,280,133.8
386,290,138.6
386,299,142.9
373,0,0.5
373,1,0.5
373,10,4.8
373,20,9.6
373,30,14.3
373,70,33.5
373,80,38.2
373,120,57.4
373,130,62.1
373,170,81.3
373,180,86
373,220,105.2
373,230,109.9
373,270,129.1
373,280,133.8
373,290,138.6
373,299,142.9
1864,0,0.5
1864,1,0.5
1864,10,4.8
1864,20,9.6
1864,30,14.3
1864,70,33.5
1864,80,38.2
1864,120,57.4
1864,130,62.1
1864,170,81.3
1864,180,86
1864,220,105.2
1864,230,109.9
1864,270,129.1
1864,280,133.8
1864,290,138.6
1864,299,142.9
805,0,0.5
805,1,0.5
805,10,4.8
805,20,9.6
805,30,14.3
805,70,33.5
805,80,38.2
805,120,57.4
805,130,62.1
805,170,81.3
805,180,86
805,220,105.2
805,230,109.9
