AU,Age,Yield,Height,DBHq,TPH,GrossYield,CrownCover,MAI,BasalArea000,DBHg000,SPH000,StemCount000,StemCount125,StemCount175
22002,90,241.6,22.6,,,276.1,67.8,2.685,31.5,26.5,570.0,570.0,562.9,526.0
22002,100,281.1,24.2,,,320.4,67.5,2.811,34.3,27.7,565.9,565.9,559.6,527.2
22002,110,323.4,25.5,,,368.0,67.1,2.94,37.0,28.9,560.9,560.9,555.6,525.8
22002,120,360.8,26.8,,,410.7,66.8,3.007,39.3,29.9,555.9,555.9,551.6,524.1
22002,130,393.9,27.9,,,449.1,66.4,3.03,41.2,30.8,550.7,550.7,547.1,521.4
22002,140,423.8,28.9,,,484.3,66.1,3.027,42.9,31.6,545.5,545.5,542.8,518.5
22002,150,453.0,29.8,,,519.3,65.7,3.02,44.5,32.3,539.8,539.8,537.5,514.9
22002,160,480.9,30.6,,,553.4,65.4,3.006,45.9,33.0,533.6,533.6,531.6,510.9
22002,170,505.5,31.4,,,584.0,65.0,2.974,47.1,33.6,527.7,527.7,525.9,507.0
22002,180,527.6,32.1,,,612.3,64.6,2.931,48.1,34.2,521.6,521.6,520.1,502.8
22002,190,548.0,32.7,,,639.3,64.3,2.884,49.0,34.7,514.1,514.1,512.7,497.3
22002,200,566.4,33.3,,,664.3,63.9,2.832,49.7,35.2,507.0,507.0,505.8,492.0
22002,210,583.0,33.9,,,687.5,63.6,2.776,50.3,35.7,500.2,500.2,499.1,486.9
22002,220,598.1,34.4,,,709.1,63.2,2.718,50.9,36.2,493.7,493.7,492.8,481.9
22002,230,610.7,34.9,,,728.7,62.9,2.655,51.3,36.6,486.7,486.7,485.8,475.7
22002,240,621.8,35.3,,,746.6,62.5,2.591,51.6,36.9,479.5,479.5,478.7,469.1
22002,250,632.1,35.7,,,764.0,62.2,2.528,51.9,37.3,472.5,472.5,471.8,462.8
22002,260,641.5,36.1,,,780.2,61.8,2.467,52.1,37.7,465.9,465.9,465.2,456.6
22002,270,649.8,36.5,,,795.5,61.5,2.407,52.3,38.0,459.5,459.5,458.9,450.7
22002,280,657.4,36.8,,,809.9,61.1,2.348,52.4,38.3,453.3,453.3,452.8,445.0
22002,290,664.7,37.2,,,824.2,60.7,2.292,52.5,38.6,447.3,447.3,446.8,439.4
22002,300,672.2,37.5,,,839.1,60.4,2.241,52.6,38.9,441.4,441.4,440.9,433.6
22002,310,679.0,37.8,,,853.2,60.0,2.19,52.7,39.2,435.7,435.7,435.2,428.1
22002,320,685.1,38.0,,,866.5,59.7,2.141,52.8,39.5,430.2,430.2,429.8,422.7
22002,330,690.5,38.3,,,879.2,59.3,2.092,52.8,39.7,424.9,424.9,424.5,417.5
22002,340,695.3,38.6,,,891.2,59.0,2.045,52.8,40.0,419.7,419.7,419.3,412.4
22002,350,699.6,38.8,,,902.6,58.6,1.999,52.8,40.2,414.7,414.7,414.3,407.5
22003,0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22003,10,0.0,2.5,,,0.0,3.1,0.0,0.0,0.5,738.2,738.2,0.0,0.0
22003,20,0.0,6.7,,,4.2,26.0,0.0,1.4,4.9,714.7,714.7,0.2,0.0
22003,30,18.2,11.2,,,36.0,64.4,0.607,8.5,12.3,700.3,700.3,317.9,28.2
22003,40,90.6,15.2,,,111.7,79.4,2.264,19.5,18.8,693.4,693.4,654.9,433.7
22003,50,174.9,18.7,,,202.3,81.6,3.499,28.4,22.8,689.7,689.7,676.6,597.1
22003,60,261.0,21.7,,,295.3,81.5,4.349,35.7,25.7,685.5,685.5,676.5,629.6
22003,70,342.9,24.4,,,384.5,81.1,4.899,41.7,27.9,679.9,679.9,672.5,634.7
22003,80,431.8,26.7,,,481.4,80.7,5.397,47.4,29.9,672.1,672.1,666.8,633.7
22003,90,509.3,28.8,,,567.0,80.3,5.659,52.0,31.5,663.4,663.4,660.0,630.0
22003,100,582.2,30.6,,,648.8,79.8,5.822,56.1,33.0,653.2,653.2,651.1,625.0
22003,110,649.5,32.2,,,725.7,79.4,5.905,59.5,34.3,642.0,642.0,640.6,618.8
22003,120,712.0,33.7,,,799.0,79.0,5.934,62.5,35.5,627.2,627.2,626.2,609.2
22003,130,769.5,35.0,,,867.6,78.6,5.919,65.0,36.7,612.1,612.1,611.3,599.0
22003,140,817.7,36.2,,,928.0,78.2,5.841,67.0,37.8,595.7,595.7,595.2,585.5
22003,150,858.2,37.3,,,980.8,77.7,5.721,68.4,38.7,579.1,579.1,578.7,570.9
22003,160,894.6,38.3,,,1029.4,77.3,5.591,69.7,39.6,563.6,563.6,563.4,557.2
22003,170,931.8,39.1,,,1080.1,76.9,5.481,70.9,40.5,548.8,548.8,548.6,543.1
22003,180,965.0,40.0,,,1126.6,76.5,5.361,71.9,41.3,535.0,535.0,534.9,530.0
22003,190,995.1,40.7,,,1169.8,76.1,5.237,72.8,42.1,522.2,522.2,522.1,517.5
22003,200,1022.6,41.4,,,1211.8,75.6,5.113,73.5,42.8,509.4,509.4,509.3,505.2
22003,210,1047.5,42.0,,,1251.2,75.2,4.988,74.0,43.5,497.2,497.2,497.1,493.4
22003,220,1069.7,42.6,,,1287.7,74.8,4.862,74.5,44.1,485.7,485.7,485.7,482.3
22003,230,1089.7,43.2,,,1321.7,74.4,4.738,74.8,44.8,474.9,474.9,474.9,471.8
22003,240,1106.1,43.7,,,1351.9,74.0,4.609,75.1,45.3,465.1,465.1,465.0,462.2
22003,250,1119.0,44.2,,,1378.5,73.5,4.476,75.2,45.8,456.2,456.2,456.1,453.4
22003,260,1130.5,44.6,,,1403.3,73.1,4.348,75.3,46.3,447.7,447.7,447.7,445.2
22003,270,1140.5,45.0,,,1426.5,72.7,4.224,75.3,46.8,439.7,439.7,439.7,437.3
22003,280,1149.3,45.4,,,1448.2,72.3,4.105,75.2,47.2,432.0,432.0,431.9,429.7
22003,290,1157.1,45.8,,,1468.7,71.9,3.99,75.2,47.6,424.6,424.6,424.6,422.5
22003,300,1164.8,46.1,,,1489.5,71.4,3.883,75.1,48.0,417.7,417.7,417.7,415.7
22003,310,1172.7,46.5,,,1510.6,71.0,3.783,75.1,48.4,411.2,411.2,411.2,409.3
22003,320,1179.6,46.8,,,1530.7,70.6,3.686,74.9,48.7,405.0,405.0,405.0,403.2
22003,330,1185.6,47.1,,,1549.7,70.2,3.593,74.8,49.1,399.1,399.1,399.0,397.3
22003,340,1190.8,47.3,,,1567.7,69.8,3.502,74.7,49.4,393.3,393.3,393.3,391.6
